Wavelength,Transmission
200,1.287E-02
201,1.285E-02
202,1.276E-02
203,1.270E-02
204,1.250E-02
205,1.244E-02
206,1.240E-02
207,1.230E-02
208,1.211E-02
209,1.190E-02
210,1.178E-02
211,1.163E-02
212,1.164E-02
213,1.160E-02
214,1.154E-02
215,1.140E-02
216,1.128E-02
217,1.119E-02
218,1.108E-02
219,1.102E-02
220,1.095E-02
221,1.083E-02
222,1.069E-02
223,1.066E-02
224,1.066E-02
225,1.060E-02
226,1.050E-02
227,1.041E-02
228,1.041E-02
229,1.029E-02
230,1.029E-02
231,1.022E-02
232,1.004E-02
233,1.003E-02
234,9.903E-03
235,9.898E-03
236,9.895E-03
237,9.788E-03
238,9.830E-03
239,9.735E-03
240,9.581E-03
241,9.592E-03
242,9.507E-03
243,9.471E-03
244,9.458E-03
245,9.394E-03
246,9.347E-03
247,9.277E-03
248,9.229E-03
249,9.277E-03
250,9.237E-03
251,9.151E-03
252,9.071E-03
253,8.981E-03
254,9.009E-03
255,8.985E-03
256,8.928E-03
257,8.985E-03
258,8.857E-03
259,8.767E-03
260,8.792E-03
261,8.781E-03
262,8.828E-03
263,8.650E-03
264,8.685E-03
265,8.659E-03
266,8.636E-03
267,8.677E-03
268,8.633E-03
269,8.558E-03
270,8.543E-03
271,8.462E-03
272,8.431E-03
273,8.438E-03
274,8.485E-03
275,8.403E-03
276,8.324E-03
277,8.290E-03
278,8.255E-03
279,8.288E-03
280,8.306E-03
281,8.264E-03
282,8.267E-03
283,8.181E-03
284,8.181E-03
285,8.125E-03
286,8.072E-03
287,7.967E-03
288,8.081E-03
289,8.032E-03
290,8.012E-03
291,8.003E-03
292,7.964E-03
293,7.849E-03
294,8.015E-03
295,7.855E-03
296,7.841E-03
297,7.927E-03
298,7.952E-03
299,7.866E-03
300,7.760E-03
301,7.801E-03
302,7.704E-03
303,7.792E-03
304,7.798E-03
305,7.759E-03
306,7.751E-03
307,7.635E-03
308,7.676E-03
309,7.816E-03
310,7.888E-03
311,8.070E-03
312,8.458E-03
313,9.446E-03
314,1.150E-02
315,1.554E-02
316,2.207E-02
317,3.359E-02
318,5.261E-02
319,8.130E-02
320,1.270E-01
321,1.938E-01
322,2.868E-01
323,4.103E-01
324,5.769E-01
325,7.931E-01
326,1.073E+00
327,1.433E+00
328,1.862E+00
329,2.364E+00
330,2.967E+00
331,3.663E+00
332,4.435E+00
333,5.303E+00
334,6.253E+00
335,7.253E+00
336,8.367E+00
337,9.606E+00
338,1.090E+01
339,1.232E+01
340,1.375E+01
341,1.516E+01
342,1.664E+01
343,1.812E+01
344,1.969E+01
345,2.126E+01
346,2.291E+01
347,2.433E+01
348,2.587E+01
349,2.745E+01
350,2.906E+01
351,3.071E+01
352,3.221E+01
353,3.341E+01
354,3.482E+01
355,3.619E+01
356,3.764E+01
357,3.902E+01
358,4.038E+01
359,4.130E+01
360,4.246E+01
361,4.350E+01
362,4.470E+01
363,4.573E+01
364,4.663E+01
365,4.721E+01
366,4.796E+01
367,4.843E+01
368,4.894E+01
369,4.925E+01
370,4.931E+01
371,4.872E+01
372,4.805E+01
373,4.709E+01
374,4.616E+01
375,4.537E+01
376,4.464E+01
377,4.393E+01
378,4.420E+01
379,4.476E+01
380,4.575E+01
381,4.680E+01
382,4.822E+01
383,4.970E+01
384,5.152E+01
385,5.305E+01
386,5.446E+01
387,5.548E+01
388,5.678E+01
389,5.770E+01
390,5.889E+01
391,5.967E+01
392,6.042E+01
393,6.073E+01
394,6.129E+01
395,6.176E+01
396,6.233E+01
397,6.284E+01
398,6.311E+01
399,6.292E+01
400,6.310E+01
401,6.312E+01
402,6.330E+01
403,6.353E+01
404,6.359E+01
405,6.307E+01
406,6.297E+01
407,6.291E+01
408,6.296E+01
409,6.301E+01
410,6.285E+01
411,6.240E+01
412,6.236E+01
413,6.234E+01
414,6.246E+01
415,6.272E+01
416,6.266E+01
417,6.239E+01
418,6.250E+01
419,6.263E+01
420,6.288E+01
421,6.328E+01
422,6.329E+01
423,6.315E+01
424,6.333E+01
425,6.353E+01
426,6.371E+01
427,6.407E+01
428,6.409E+01
429,6.389E+01
430,6.395E+01
431,6.403E+01
432,6.411E+01
433,6.423E+01
434,6.404E+01
435,6.380E+01
436,6.367E+01
437,6.365E+01
438,6.369E+01
439,6.396E+01
440,6.390E+01
441,6.361E+01
442,6.360E+01
443,6.374E+01
444,6.402E+01
445,6.439E+01
446,6.443E+01
447,6.438E+01
448,6.459E+01
449,6.478E+01
450,6.521E+01
451,6.561E+01
452,6.566E+01
453,6.557E+01
454,6.567E+01
455,6.581E+01
456,6.621E+01
457,6.643E+01
458,6.648E+01
459,6.627E+01
460,6.618E+01
461,6.630E+01
462,6.655E+01
463,6.680E+01
464,6.660E+01
465,6.624E+01
466,6.625E+01
467,6.625E+01
468,6.642E+01
469,6.668E+01
470,6.638E+01
471,6.606E+01
472,6.595E+01
473,6.596E+01
474,6.619E+01
475,6.622E+01
476,6.599E+01
477,6.561E+01
478,6.548E+01
479,6.542E+01
480,6.560E+01
481,6.580E+01
482,6.550E+01
483,6.513E+01
484,6.507E+01
485,6.499E+01
486,6.519E+01
487,6.535E+01
488,6.502E+01
489,6.474E+01
490,6.468E+01
491,6.464E+01
492,6.483E+01
493,6.497E+01
494,6.466E+01
495,6.437E+01
496,6.437E+01
497,6.442E+01
498,6.463E+01
499,6.470E+01
500,6.441E+01
501,6.417E+01
502,6.416E+01
503,6.422E+01
504,6.449E+01
505,6.466E+01
506,6.432E+01
507,6.410E+01
508,6.411E+01
509,6.417E+01
510,6.442E+01
511,6.455E+01
512,6.428E+01
513,6.413E+01
514,6.422E+01
515,6.431E+01
516,6.458E+01
517,6.480E+01
518,6.459E+01
519,6.441E+01
520,6.445E+01
521,6.455E+01
522,6.487E+01
523,6.508E+01
524,6.482E+01
525,6.467E+01
526,6.480E+01
527,6.493E+01
528,6.522E+01
529,6.543E+01
530,6.521E+01
531,6.521E+01
532,6.547E+01
533,6.567E+01
534,6.588E+01
535,6.586E+01
536,6.566E+01
537,6.570E+01
538,6.591E+01
539,6.604E+01
540,6.625E+01
541,6.625E+01
542,6.592E+01
543,6.570E+01
544,6.576E+01
545,6.601E+01
546,6.620E+01
547,6.627E+01
548,6.596E+01
549,6.574E+01
550,6.580E+01
551,6.598E+01
552,6.617E+01
553,6.586E+01
554,6.570E+01
555,6.558E+01
556,6.551E+01
557,6.559E+01
558,6.572E+01
559,6.565E+01
560,6.537E+01
561,6.546E+01
562,6.522E+01
563,6.504E+01
564,6.498E+01
565,6.491E+01
566,6.507E+01
567,6.485E+01
568,6.451E+01
569,6.431E+01
570,6.419E+01
571,6.419E+01
572,6.436E+01
573,6.411E+01
574,6.383E+01
575,6.367E+01
576,6.353E+01
577,6.353E+01
578,6.360E+01
579,6.338E+01
580,6.299E+01
581,6.283E+01
582,6.270E+01
583,6.281E+01
584,6.294E+01
585,6.268E+01
586,6.248E+01
587,6.233E+01
588,6.223E+01
589,6.241E+01
590,6.250E+01
591,6.230E+01
592,6.216E+01
593,6.215E+01
594,6.199E+01
595,6.224E+01
596,6.241E+01
597,6.224E+01
598,6.203E+01
599,6.225E+01
600,6.235E+01
601,6.253E+01
602,6.251E+01
603,6.229E+01
604,6.216E+01
605,6.237E+01
606,6.239E+01
607,6.266E+01
608,6.269E+01
609,6.247E+01
610,6.234E+01
611,6.236E+01
612,6.234E+01
613,6.251E+01
614,6.271E+01
615,6.253E+01
616,6.242E+01
617,6.236E+01
618,6.246E+01
619,6.267E+01
620,6.284E+01
621,6.257E+01
622,6.255E+01
623,6.254E+01
624,6.239E+01
625,6.283E+01
626,6.288E+01
627,6.265E+01
628,6.252E+01
629,6.227E+01
630,6.234E+01
631,6.243E+01
632,6.254E+01
633,6.219E+01
634,6.205E+01
635,6.209E+01
636,6.209E+01
637,6.221E+01
638,6.223E+01
639,6.182E+01
640,6.172E+01
641,6.153E+01
642,6.170E+01
643,6.169E+01
644,6.184E+01
645,6.144E+01
646,6.145E+01
647,6.139E+01
648,6.150E+01
649,6.157E+01
650,6.173E+01
651,6.136E+01
652,6.137E+01
653,6.136E+01
654,6.144E+01
655,6.172E+01
656,6.171E+01
657,6.140E+01
658,6.138E+01
659,6.150E+01
660,6.157E+01
661,6.180E+01
662,6.188E+01
663,6.159E+01
664,6.164E+01
665,6.199E+01
666,6.210E+01
667,6.234E+01
668,6.255E+01
669,6.235E+01
670,6.245E+01
671,6.258E+01
672,6.305E+01
673,6.320E+01
674,6.320E+01
675,6.314E+01
676,6.324E+01
677,6.351E+01
678,6.380E+01
679,6.421E+01
680,6.433E+01
681,6.440E+01
682,6.458E+01
683,6.498E+01
684,6.513E+01
685,6.556E+01
686,6.552E+01
687,6.556E+01
688,6.548E+01
689,6.626E+01
690,6.602E+01
691,6.607E+01
692,6.652E+01
693,6.679E+01
694,6.664E+01
695,6.683E+01
696,6.680E+01
697,6.729E+01
698,6.767E+01
699,6.732E+01
700,6.723E+01
701,6.758E+01
702,6.747E+01
703,6.794E+01
704,6.799E+01
705,6.797E+01
706,6.781E+01
707,6.783E+01
708,6.762E+01
709,6.805E+01
710,6.837E+01
711,6.792E+01
712,6.804E+01
713,6.810E+01
714,6.802E+01
715,6.828E+01
716,6.845E+01
717,6.815E+01
718,6.812E+01
719,6.804E+01
720,6.785E+01
721,6.822E+01
722,6.827E+01
723,6.808E+01
724,6.791E+01
725,6.786E+01
726,6.790E+01
727,6.800E+01
728,6.820E+01
729,6.794E+01
730,6.781E+01
731,6.749E+01
732,6.753E+01
733,6.783E+01
734,6.806E+01
735,6.766E+01
736,6.739E+01
737,6.737E+01
738,6.729E+01
739,6.742E+01
740,6.766E+01
741,6.725E+01
742,6.719E+01
743,6.722E+01
744,6.697E+01
745,6.699E+01
746,6.744E+01
747,6.711E+01
748,6.677E+01
749,6.673E+01
750,6.660E+01
751,6.672E+01
752,6.682E+01
753,6.649E+01
754,6.626E+01
755,6.630E+01
756,6.618E+01
757,6.631E+01
758,6.631E+01
759,6.606E+01
760,6.588E+01
761,6.578E+01
762,6.580E+01
763,6.595E+01
764,6.583E+01
765,6.561E+01
766,6.543E+01
767,6.534E+01
768,6.534E+01
769,6.551E+01
770,6.550E+01
771,6.517E+01
772,6.498E+01
773,6.512E+01
774,6.491E+01
775,6.493E+01
776,6.570E+01
777,6.563E+01
778,6.556E+01
779,6.548E+01
780,6.541E+01
781,6.533E+01
782,6.525E+01
783,6.517E+01
784,6.510E+01
785,6.502E+01
786,6.494E+01
787,6.486E+01
788,6.478E+01
789,6.471E+01
790,6.464E+01
791,6.456E+01
792,6.449E+01
793,6.440E+01
794,6.432E+01
795,6.425E+01
796,6.418E+01
797,6.410E+01
798,6.402E+01
799,6.393E+01
800,6.385E+01
801,6.379E+01
802,6.372E+01
803,6.363E+01
804,6.357E+01
805,6.349E+01
806,6.342E+01
807,6.335E+01
808,6.328E+01
809,6.320E+01
810,6.313E+01
811,6.305E+01
812,6.296E+01
813,6.288E+01
814,6.281E+01
815,6.274E+01
816,6.268E+01
817,6.259E+01
818,6.250E+01
819,6.243E+01
820,6.235E+01
821,6.229E+01
822,6.223E+01
823,6.215E+01
824,6.206E+01
825,6.199E+01
826,6.193E+01
827,6.186E+01
828,6.180E+01
829,6.172E+01
830,6.164E+01
831,6.157E+01
832,6.151E+01
833,6.144E+01
834,6.139E+01
835,6.132E+01
836,6.125E+01
837,6.118E+01
838,6.111E+01
839,6.104E+01
840,6.098E+01
841,6.091E+01
842,6.084E+01
843,6.077E+01
844,6.069E+01
845,6.062E+01
846,6.057E+01
847,6.052E+01
848,6.046E+01
849,6.039E+01
850,6.032E+01
851,6.026E+01
852,6.020E+01
853,6.014E+01
854,6.007E+01
855,6.001E+01
856,5.995E+01
857,5.988E+01
858,5.983E+01
859,5.977E+01
860,5.971E+01
861,5.964E+01
862,5.956E+01
863,5.950E+01
864,5.946E+01
865,5.940E+01
866,5.931E+01
867,5.918E+01
868,5.905E+01
869,5.893E+01
870,5.886E+01
871,5.878E+01
872,5.862E+01
873,5.839E+01
874,5.820E+01
875,5.813E+01
876,5.814E+01
877,5.814E+01
878,5.808E+01
879,5.799E+01
880,5.788E+01
881,5.771E+01
882,5.751E+01
883,5.735E+01
884,5.720E+01
885,5.705E+01
886,5.692E+01
887,5.685E+01
888,5.682E+01
889,5.678E+01
890,5.672E+01
891,5.664E+01
892,5.657E+01
893,5.649E+01
894,5.646E+01
895,5.652E+01
896,5.660E+01
897,5.663E+01
898,5.657E+01
899,5.641E+01
900,5.620E+01
901,5.602E+01
902,5.597E+01
903,5.596E+01
904,5.596E+01
905,5.598E+01
906,5.596E+01
907,5.592E+01
908,5.585E+01
909,5.578E+01
910,5.576E+01
911,5.578E+01
912,5.573E+01
913,5.559E+01
914,5.548E+01
915,5.546E+01
916,5.545E+01
917,5.537E+01
918,5.527E+01
919,5.522E+01
920,5.509E+01
921,5.491E+01
922,5.482E+01
923,5.487E+01
924,5.492E+01
925,5.487E+01
926,5.473E+01
927,5.464E+01
928,5.464E+01
929,5.464E+01
930,5.461E+01
931,5.464E+01
932,5.468E+01
933,5.455E+01
934,5.433E+01
935,5.424E+01
936,5.424E+01
